0,145322990
0,144576624
0,144815626
2,145658336
2,144101720
3,145287050
2,145326924
2,147697114
1,144559936
3,145456894
0,144562470
4,145404010
0,145185994
0,143914284
0,145125172
0,145533714
3,144187778
2,145286730
2,145016358
1,144256450
0,146054324
0,145797198
2,144695390
1,145878514
0,145577436
2,144351592
1,145599384
1,144909454
0,144752104
0,145161980
1,145940530
2,143962958
0,145632422
2,145250778
2,144403978
0,145584368
1,145528954
2,144633526
0,144953978
0,144982426
3,144125182
3,145062306
0,145118504
2,144422454
3,145318332
0,145502760
2,145317982
1,146127022
0,144117972
0,145042770
0,145048628
0,144743402
0,146155964
0,145945846
2,144437070
0,145416414
0,145377162
1,144835964
0,144727332
5,145307380
0,144779036
4,144924320
3,145891996
1,144384802
0,145747156
2,145530552
0,144488808
1,145182786
2,145061516
0,144198412
1,145406316
0,145039786
3,144064030
0,145101096
0,144675714
0,144160046
2,144954072
1,145252222
1,144397468
0,145295216
1,145373360
4,144092826
0,145453380
0,144721268
0,144271282
1,145275712
2,145389470
2,144403106
0,145627086
2,145183740
1,144876258
4,145445882
1,145595170
1,144439110
0,145530878
0,145342674
0,144810726
5,144975366
0,145271158
3,144125732
0,145849904
2,145014618
1,144535918
5,145215848
0,145634026
2,143697760
0,145521058
0,145187476
2,144110168
0,145439482
1,144758116
1,144394284
0,145227846
0,145368986
1,144432500
0,145186804
1,145024036
2,144578658
2,145253270
2,145177340
1,144710052
3,145504090
1,144819184
2,144267644
2,144893954
0,145467512
2,143827830
1,144890612
1,145088272
0,144373690
2,145244916
2,145506864
4,144129860
1,145038362
1,148837868
1,144202528
2,145178432
1,144946582
0,144153872
0,145149260
0,145977414
0,144536774
0,145273318
0,144820390
1,144052614
1,145205874
0,144839040
0,143664780
1,144957066
0,146010512
0,143894206
0,144998090
0,144964600
0,144258954
0,145445366
4,144992194
0,145262048
0,145392162
2,144470814
1,145401250
1,145298674
0,144393602
4,145674422
1,145322350
1,144407004
0,145576850
0,145022096
0,144038592
2,145212882
0,144956182
0,143998388
0,145180112
0,145180722
0,144941092
3,145529128
0,145310552
2,144645342
0,145202840
0,145192380
0,144131894
2,144886204
0,144925816
2,144106304
0,146116808
0,145413510
3,144072424
6,144852606
0,145318566
4,144363942
1,145496604
1,145574644
1,144256278
0,145389946
2,145495136
1,144384342
0,145569408
3,144716268
0,144279726
0,145130280
1,145082786
1,144308404
2,144817290
0,145412918
0,144790042
1,145094442
1,145618926
1,144188364
1,145587506
1,144882690
1,143999140
5,145518404
2,145090924
